INDEX,DATE,YEAR,MONTH,ACP1,ACP2,ACP3,ACP4,ACP5,ACP6,ACP7,ACP8,ACP9,ACP10,ACP11,ACP12,ACP13,ACP14,ACP15,ACP16,ACP17,ACP18,ACP19,ACP20,ACP21,ACP22,ACP23,ACP24,ACP25
55,199607,1996,07,22645.83667,4062.5,7171.883333,3447.915,2963.541667,5098.958333,5203.128333,3187.5,13906.24833,2114.58,4624.998333,6026.043333,18182.3,161.4583333,2348.958333,3187.5,2723.956667,3395.831667,307.2916667,223.9583333,776.0416667,4718.753333,1484.375,567.7083333,864.5833333
56,199608,1996,08,13197.54643,2873.883929,10351.5625,2327.007143,6099.330357,10491.06786,8041.294643,1093.75,15184.15,7170.7625,15323.65893,2505.580357,16702.00893,2047.989286,2929.6875,1339.285714,6071.426786,6741.067857,1093.75,435.2678571,658.4821429,7204.246429,6099.333929,2327.008929,2918.526786
57,199609,1996,09,13598.96167,4328.125,12947.92167,3958.335,4854.166667,7302.08,7963.538333,750,15994.785,2546.875,3791.666667,4890.621667,14744.79,536.4583333,2916.666667,1942.708333,421.875,8781.248333,3223.958333,1114.583333,1703.125,14078.12333,6848.955,3479.166667,1828.125
58,199610,1996,10,24288.78621,4628.232759,17063.58276,4903.017241,4552.801724,7235.996552,8232.758621,3022.62931,13211.21897,6584.053448,9843.748276,3480.601724,14649.7931,840.5172414,3938.577586,5457.972414,2758.624138,10937.49655,1427.801724,1637.931034,6934.267241,16136.84655,7564.656897,6066.808621,2187.5
59,199611,1996,11,25331.24,8568.752,5543.75,7012.5,10224.99,2862.496,3499.998,7562.506,13537.498,10643.75,29056.248,3687.5,312.5,1206.248,7181.248,3525.002,9093.75,18243.758,3356.25,2381.25,7187.512,34306.25,12362.5,9187.502,3856.246
60,199612,1996,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,199701,1997,01,770.8333333,10.41666667,125,510.4166667,4098.956667,468.75,583.3333333,229.1666667,0,0,0,0,0,0,10.41666667,52.08333333,26911.44333,6260.416667,5.208333333,0,0,83.33333333,0,0,0
62,199702,1997,02,0,5.387931034,0,0,942.887931,0,457.9741379,91.59482759,0,0,0,0,0,0,0,0,13723.06207,0,0,0,0,10.77586207,0,0,0
63,199703,1997,03,8114.917742,5146.169355,1592.741935,0,156.25,105.8467742,549.3951613,35.28225806,2338.71129,1713.709677,2404.232258,85.68548387,10.08064516,0,0,0,8165.325806,388.1032258,372.983871,272.1774194,887.0967742,2434.477419,0,45.36290323,3230.846774
64,199704,1997,04,14473.955,3552.081667,11796.87833,3630.208333,4031.25,2812.501667,9874.998333,4328.125,20625.00333,6921.871667,14817.7,5703.123333,12640.625,104.1666667,3057.291667,4208.333333,1822.916667,7531.248333,802.0833333,734.375,3333.331667,18411.45,2807.293333,1937.5,1562.5
